symbol,side,type,price,timestamp
FB,buy,market,,1608917400.1954823
GOOG,sell,market,,1608917400.4212484
AAPL,buy,limit,130.98,1608917400.7614357
AMZN,buy,market,,1608917400.9252071
AMZN,buy,limit,,1608917401.0033486
GOOG,buy,market,,1608917401.7943969
AMZN,buy,limit,3170.56,1608917402.4304547
TSLA,buy,limit,659.04,1608917402.582905
FB,sell,limit,265.57,1608917403.013782
GOOG,sell,limit,1732.83,1608917403.47587
GOOG,buy,market,,1608917403.8944085
TSLA,sell,market,,1608917403.924591
GOOG,buy,limit,1733.8,1608917404.5379813
TSLA,sell,limit,659.19,1608917404.6095386
AAPL,buy,limit,130.44,1608917404.8376262
AMZN,sell,limit,3171.87,1608917405.2988777
GOOG,sell,limit,1733.82,1608917405.8049612
TSLA,sell,market,,1608917405.8177803
AAPL,sell,market,,1608917406.3286564
TSLA,buy,market,,1608917406.5147345
GOOG,sell,market,1732.51,1608917406.9263008
AAPL,sell,limit,130.4,1608917407.122475
AAPL,sell,market,,1608917407.5242581
GOOG,sell,limit,1733.47,1608917407.9755147
TSLA,sell,market,,1608917408.8646495
AMZN,sell,market,,1608917409.5018485
GOOG,buy,market,,1608917410.201874
AAPL,buy,market,,1608917410.4204493
GOOG,buy,market,,1608917411.353393
AAPL,buy,market,,1608917412.092185
FB,buy,market,,1608917412.4404364
AAPL,sell,limit,131.15,1608917413.038665
GOOG,buy,limit,1733.56,1608917413.7902415
FB,buy,market,,1608917414.653944
TSLA,buy,limit,659.18,1608917415.0351562
FB,buy,market,,1608917415.5834923
FB,buy,limit,265.26,1608917415.6873667
AAPL,sell,limit,131.04,1608917416.5555544
AMZN,buy,limit,3171.53,1608917417.294503
FB,buy,market,,1608917417.8708487
TSLA,sell,market,,1608917418.269317
FB,buy,limit,265.84,1608917418.9769216
GOOG,buy,market,,1608917419.832568
TSLA,buy,limit,658.58,1608917420.4187357
GOOG,buy,limit,1733.71,1608917421.0690851
GOOG,buy,market,,1608917421.2711475
TSLA,buy,limit,659.75,1608917421.5917945
FB,buy,market,,1608917422.5060928
AMZN,buy,market,,1608917423.4089453
GOOG,buy,market,,1608917423.5852501
GOOG,sell,limit,1733.54,1608917424.4141674
TSLA,sell,limit,659.32,1608917424.8548493
AMZN,sell,limit,3170.12,1608917425.724865
AAPL,sell,market,,1608917426.4505599
TSLA,buy,market,,1608917426.8018048
AMZN,sell,market,3171.76,1608917427.7878973
AMZN,sell,market,,1608917428.3079681
GOOG,sell,market,,1608917428.5482192
FB,buy,limit,266.37,1608917429.4098556
TSLA,buy,limit,658.28,1608917429.8321145
GOOG,sell,market,,1608917430.763677
AMZN,buy,limit,3170.95,1608917430.9503615
GOOG,sell,limit,1733.43,1608917431.1912713
FB,buy,limit,265.95,1608917431.2420266
TSLA,buy,limit,659.26,1608917431.4215415
TSLA,buy,limit,659.0,1608917432.043393
TSLA,sell,limit,659.45,1608917432.7884092
TSLA,buy,market,,1608917433.7308235
GOOG,sell,limit,1732.02,1608917434.5290165
FB,sell,limit,265.51,1608917435.4442482
FB,buy,limit,266.69,1608917435.9956927
TSLA,buy,limit,658.94,1608917436.0983467
GOOG,buy,market,,1608917436.9739656
AAPL,sell,limit,131.53,1608917437.966448
AMZN,sell,limit,3170.91,1608917438.9126558
TSLA,sell,limit,,1608917439.5039697
FB,buy,market,,1608917440.4336874
AMZN,buy,limit,3170.82,1608917440.5979857
TSLA,buy,limit,658.98,1608917441.031544
AMZN,buy,limit,3171.38,1608917441.3683338
AAPL,sell,limit,131.68,1608917442.1881473
GOOG,buy,limit,1732.99,1608917442.3090363
AAPL,sell,market,130.82,1608917442.4593868
AMZN,buy,limit,3171.99,1608917442.9098792
FB,sell,market,,1608917443.5627713
FB,sell,limit,265.15,1608917443.8630934
AAPL,buy,market,,1608917444.0031545
TSLA,buy,limit,658.44,1608917444.4100556
AMZN,buy,limit,3171.5,1608917444.8760755
AMZN,sell,limit,3171.15,1608917445.7221928
TSLA,sell,market,,1608917446.5482352
AAPL,buy,limit,131.84,1608917447.3846822
FB,buy,limit,265.52,1608917447.5746224
GOOG,sell,market,1733.2,1608917448.0308292
FB,sell,limit,265.41,1608917448.9267464
AMZN,sell,limit,3170.63,1608917449.2979982
GOOG,sell,market,,1608917449.718915
AAPL,buy,market,,1608917449.891976
AAPL,sell,market,,1608917450.6637983
GOOG,buy,limit,1733.94,1608917451.312478
AAPL,buy,market,,1608917452.1733747
TSLA,buy,market,659.74,1608917452.9174292
GOOG,buy,market,,1608917453.7466867
GOOG,buy,limit,1733.12,1608917454.1263905
GOOG,buy,limit,1733.23,1608917454.1885679
TSLA,sell,limit,659.04,1608917454.3662271
TSLA,sell,market,,1608917454.5474706
FB,sell,limit,266.14,1608917455.4904716
FB,buy,limit,265.77,1608917455.5192223
AMZN,sell,limit,3170.44,1608917456.4965115
TSLA,sell,limit,,1608917457.3276193
AMZN,sell,limit,3170.85,1608917458.2180555
GOOG,buy,market,,1608917458.7226686
AMZN,buy,limit,,1608917459.3395905
AAPL,sell,market,,1608917460.2866104
TSLA,buy,market,,1608917461.1486895
AMZN,buy,limit,3170.15,1608917461.4467494
FB,buy,limit,265.27,1608917462.1411726
AAPL,buy,limit,130.68,1608917462.9321306
GOOG,sell,limit,1732.58,1608917463.9033723
TSLA,buy,limit,658.11,1608917464.5328507
GOOG,sell,limit,1733.34,1608917465.4425335
FB,sell,market,,1608917466.418722
AAPL,buy,market,,1608917466.5800157
TSLA,sell,market,,1608917467.1707482
AMZN,buy,limit,3170.58,1608917467.1874733
FB,buy,limit,266.11,1608917467.9938896
AMZN,sell,market,,1608917468.8661783
FB,buy,limit,265.97,1608917469.4607775
FB,buy,market,,1608917470.4477334
AMZN,sell,market,,1608917470.628983
FB,sell,market,,1608917471.091177
GOOG,sell,limit,1732.29,1608917471.9309714
AAPL,sell,market,,1608917472.1812363
FB,buy,limit,266.66,1608917472.3070548
GOOG,sell,limit,1733.46,1608917473.1352837
AAPL,buy,limit,131.4,1608917473.758477
FB,buy,limit,266.9,1608917473.9647074
TSLA,sell,limit,659.59,1608917474.6257198
AMZN,sell,market,,1608917475.10721
GOOG,sell,limit,1732.95,1608917475.6339245
TSLA,buy,limit,659.22,1608917475.6682477
GOOG,sell,limit,1732.8,1608917475.9155083
AAPL,sell,market,,1608917476.436474
GOOG,buy,market,,1608917477.0095506
AMZN,sell,limit,3171.77,1608917477.2570722
AMZN,sell,limit,3171.23,1608917477.7112355
FB,sell,limit,266.81,1608917478.6817195
AMZN,sell,limit,3170.14,1608917479.388747
AAPL,sell,limit,130.26,1608917479.5595107
TSLA,sell,market,,1608917480.1377494
AMZN,buy,market,,1608917480.6788087
TSLA,buy,limit,659.37,1608917481.4276955
AAPL,buy,limit,130.05,1608917482.400501
FB,buy,market,,1608917482.669388
AMZN,sell,limit,3171.21,1608917483.3691955
AMZN,sell,limit,3170.68,1608917484.2779453
AMZN,buy,limit,3170.53,1608917484.339319
GOOG,buy,limit,,1608917484.7748494
FB,buy,market,,1608917485.7064211
FB,sell,limit,266.15,1608917485.8396816
AMZN,buy,market,,1608917486.252147
FB,buy,limit,266.02,1608917487.1376097
GOOG,buy,market,,1608917487.828415
TSLA,sell,limit,659.79,1608917488.3520625
AMZN,sell,limit,3171.55,1608917489.3030944
TSLA,sell,limit,659.11,1608917489.48416
AMZN,buy,market,,1608917490.4675703
AAPL,sell,limit,131.33,1608917491.4142776
TSLA,sell,market,,1608917492.2439911
TSLA,sell,limit,659.89,1608917493.1691284
AMZN,sell,limit,3171.03,1608917493.886067
AAPL,sell,market,,1608917494.3169205
TSLA,sell,market,,1608917494.830794
AAPL,buy,limit,131.4,1608917495.053105
TSLA,sell,limit,658.46,1608917495.6285856
FB,buy,market,,1608917495.866886
AMZN,sell,limit,3171.91,1608917496.4427257
AMZN,buy,limit,3170.63,1608917497.411459
TSLA,sell,limit,658.67,1608917497.522389
AAPL,sell,market,,1608917498.3896575
AAPL,buy,limit,131.07,1608917499.328295
AAPL,sell,limit,130.73,1608917499.6283884
GOOG,sell,limit,1733.46,1608917499.6905937
FB,buy,market,,1608917500.45958
FB,sell,limit,266.95,1608917500.5499127
FB,sell,market,,1608917500.6368787
AMZN,sell,limit,3170.67,1608917500.9562485
FB,buy,limit,265.63,1608917501.5437036
FB,buy,limit,266.06,1608917501.5860517
TSLA,sell,limit,658.9,1608917502.5397482
