symbol,side,type,price,timestamp,reason
FB,BUY,MARKET,0.00,1608917400.1954823,product-halted
GOOG,SELL,MARKET,0.00,1608917400.4212484,product-halted
AMZN,BUY,MARKET,0.00,1608917400.9252071,no-match
GOOG,BUY,MARKET,0.00,1608917401.7943969,product-halted
FB,SELL,LIMIT,265.57,1608917403.13782,product-halted
GOOG,SELL,LIMIT,1732.83,1608917403.47587,product-halted
GOOG,BUY,MARKET,0.00,1608917403.8944085,product-halted
GOOG,BUY,LIMIT,1733.80,1608917404.5379813,product-halted
GOOG,SELL,LIMIT,1733.82,1608917405.8049612,product-halted
TSLA,SELL,MARKET,0.00,1608917405.8177803,no-match
GOOG,SELL,MARKET,1732.51,1608917406.9263008,product-halted
AAPL,SELL,MARKET,0.00,1608917407.5242581,no-match
GOOG,SELL,LIMIT,1733.47,1608917407.9755147,product-halted
TSLA,SELL,MARKET,0.00,1608917408.8646495,no-match
GOOG,BUY,MARKET,0.00,1608917410.201874,product-halted
AAPL,BUY,MARKET,0.00,1608917410.4204493,no-match
GOOG,BUY,MARKET,0.00,1608917411.353393,product-halted
AAPL,BUY,MARKET,0.00,1608917412.92185,no-match
FB,BUY,MARKET,0.00,1608917412.4404364,product-halted
GOOG,BUY,LIMIT,1733.56,1608917413.7902415,product-halted
FB,BUY,MARKET,0.00,1608917414.653944,product-halted
FB,BUY,MARKET,0.00,1608917415.5834923,product-halted
FB,BUY,LIMIT,265.26,1608917415.6873667,product-halted
FB,BUY,MARKET,0.00,1608917417.8708487,product-halted
FB,BUY,LIMIT,265.84,1608917418.9769216,product-halted
GOOG,BUY,MARKET,0.00,1608917419.832568,product-halted
GOOG,BUY,LIMIT,1733.71,1608917421.690851,product-halted
GOOG,BUY,MARKET,0.00,1608917421.2711475,product-halted
FB,BUY,MARKET,0.00,1608917422.5060928,product-halted
GOOG,BUY,MARKET,0.00,1608917423.5852501,product-halted
GOOG,SELL,LIMIT,1733.54,1608917424.4141674,product-halted
AAPL,SELL,MARKET,0.00,1608917426.4505599,no-match
TSLA,BUY,MARKET,0.00,1608917426.8018048,no-match
AMZN,SELL,MARKET,3171.76,1608917427.7878973,no-match
GOOG,SELL,MARKET,0.00,1608917428.5482192,product-halted
