symbol,price,timestamp
TSLA,659.04,1614585957.31889500
AAPL,130.98,1614585957.37892400
TSLA,659.19,1614585957.38891300
AAPL,130.44,1614585957.39890900
AMZN,3170.56,1614585957.42890300
TSLA,659.18,1614585957.49890500
AMZN,3171.87,1614585957.52890300
TSLA,659.75,1614585957.53889700
AMZN,3171.53,1614585957.53889700
AMZN,0.00,1614585957.55888900
TSLA,659.45,1614585957.59898000
AMZN,3170.95,1614585957.62892700
TSLA,659.26,1614585957.63892300
AAPL,131.04,1614585957.67891900
AMZN,3171.99,1614585957.69891200
TSLA,659.00,1614585957.69891200
AAPL,131.15,1614585957.69891200
AMZN,3171.50,1614585957.71890800
AAPL,131.53,1614585957.72889900
AAPL,131.68,1614585957.74890700
TSLA,658.98,1614585957.76890600
AMZN,3171.38,1614585957.78890600
TSLA,658.94,1614585957.78890600
AMZN,3170.85,1614585957.79890800
TSLA,659.04,1614585957.80889700
TSLA,658.58,1614585957.84891700
AMZN,3170.82,1614585957.85891800
AMZN,3170.58,1614585957.86893000
AAPL,130.68,1614585957.87891000
AMZN,3170.15,1614585957.90891400
AAPL,131.40,1614585957.91890500
TSLA,659.22,1614585957.93891100
AMZN,3170.14,1614585957.94890000
AMZN,3170.68,1614585957.97889800
TSLA,659.37,1614585957.98890100
AMZN,3171.21,1614585957.98890100
TSLA,658.44,1614585957.99890200
AAPL,130.05,1614585957.100891400
TSLA,658.28,1614585957.101890500
AAPL,130.26,1614585957.101890500
AAPL,131.07,1614585957.103889900
AAPL,131.33,1614585957.106890900
TSLA,658.46,1614585957.106890900
AAPL,131.74,1614585957.107890300
AAPL,130.07,1614585957.108891100
AAPL,131.83,1614585957.109891900
AMZN,3170.63,1614585957.109891900
TSLA,658.31,1614585957.110890200
AMZN,3170.53,1614585957.113891600
TSLA,658.67,1614585957.114891900
AMZN,3170.67,1614585957.115891800
AAPL,130.90,1614585957.117891700
AMZN,3170.71,1614585957.118891600
TSLA,658.18,1614585957.119891700
TSLA,658.11,1614585957.120890200
TSLA,658.90,1614585957.121890900
AMZN,3170.87,1614585957.121890900
TSLA,659.59,1614585957.122890200
AMZN,3171.03,1614585957.126895600
TSLA,659.79,1614585957.127894600
AAPL,130.91,1614585957.128892900
AMZN,3170.64,1614585957.129892900
TSLA,659.55,1614585957.131893300
AAPL,131.49,1614585957.133892000
TSLA,658.80,1614585957.135891400
TSLA,658.26,1614585957.137893800
AAPL,0.00,1614585957.138891600
TSLA,659.63,1614585957.140891000
AMZN,3171.05,1614585957.141891900
AMZN,3171.23,1614585957.142891000
TSLA,659.72,1614585957.143891500
AMZN,3171.37,1614585957.144893500
AAPL,131.52,1614585957.145889900
AAPL,131.08,1614585957.147890900
AMZN,3170.73,1614585957.148891500
TSLA,659.89,1614585957.149890900
AMZN,3170.59,1614585957.149890900
AMZN,3171.55,1614585957.151891500
AMZN,3171.77,1614585957.153891100
AMZN,3171.91,1614585957.153891100
TSLA,659.84,1614585957.154891000
TSLA,659.13,1614585957.156890400
AMZN,3170.60,1614585957.157893200
AMZN,3171.61,1614585957.158891700
TSLA,658.68,1614585957.158891700
AMZN,3170.27,1614585957.160894900
AAPL,130.75,1614585957.161890400
TSLA,658.21,1614585957.163890200
TSLA,658.80,1614585957.164890000
AMZN,3171.98,1614585957.164890000
AAPL,130.60,1614585957.165889100
AAPL,130.83,1614585957.169891900
TSLA,658.84,1614585957.169891900
AAPL,131.16,1614585957.172894600
AAPL,131.66,1614585957.179891700
AMZN,3170.77,1614585957.182889600
AMZN,3171.35,1614585957.182889600
AAPL,131.15,1614585957.183890900
AAPL,131.03,1614585957.184891300
TSLA,659.76,1614585957.186890700
AAPL,0.00,1614585957.187891400
AAPL,130.63,1614585957.209891200
AAPL,130.42,1614585957.210891700
AAPL,130.50,1614585957.212893300
TSLA,658.88,1614585957.213894400
AAPL,131.67,1614585957.213894400
AAPL,131.54,1614585957.214894500
TSLA,658.53,1614585957.214894500
TSLA,658.44,1614585957.215893800
TSLA,659.42,1614585957.217893500
AMZN,0.00,1614585957.218897200
AMZN,3171.08,1614585957.219892600
TSLA,659.92,1614585957.219892600
AMZN,3170.05,1614585957.220891400
AMZN,3171.02,1614585957.222893300
TSLA,658.07,1614585957.223890400
AAPL,131.59,1614585957.224891500
AAPL,131.87,1614585957.224891500
AMZN,3171.16,1614585957.225891800
AMZN,3170.75,1614585957.225891800
TSLA,658.20,1614585957.226894000
AAPL,130.38,1614585957.228891600
AMZN,3171.29,1614585957.228891600
AMZN,3171.86,1614585957.229901800
AMZN,3171.97,1614585957.229901800
TSLA,658.21,1614585957.230894700
TSLA,658.49,1614585957.231892200
AAPL,131.55,1614585957.234895000
AMZN,3171.73,1614585957.234895000
AMZN,3170.43,1614585957.234895000
AMZN,3171.99,1614585957.236891600
AAPL,130.76,1614585957.236891600
AAPL,131.38,1614585957.238892000
AMZN,3171.64,1614585957.240890700
TSLA,658.34,1614585957.240890700
TSLA,658.00,1614585957.241891200
AAPL,131.70,1614585957.242890800
AMZN,3171.39,1614585957.245892800
AMZN,3171.08,1614585957.247894700
AMZN,3170.71,1614585957.248892400
AAPL,131.64,1614585957.249892000
TSLA,658.16,1614585957.250892700
TSLA,658.03,1614585957.250892700
AAPL,131.66,1614585957.251892100
TSLA,659.06,1614585957.252892400
AMZN,3170.51,1614585957.252892400
AMZN,3171.90,1614585957.252892400
AMZN,3171.95,1614585957.253891400
AMZN,3170.03,1614585957.254891500
AAPL,131.24,1614585957.255893500
AAPL,131.06,1614585957.255893500
AAPL,130.97,1614585957.256891300
TSLA,659.01,1614585957.256891300
TSLA,658.76,1614585957.259892000
AMZN,3170.10,1614585957.260890800
TSLA,658.98,1614585957.260890800
AAPL,130.92,1614585957.260890800
TSLA,658.05,1614585957.264913000
TSLA,658.01,1614585957.266893800
AAPL,131.69,1614585957.266893800
AAPL,130.82,1614585957.267895000
TSLA,659.21,1614585957.268897700
AMZN,3170.34,1614585957.269893700
AMZN,3170.86,1614585957.269893700
TSLA,658.95,1614585957.270893200
TSLA,659.14,1614585957.272893900
AAPL,131.88,1614585957.273894200
AAPL,130.78,1614585957.273894200
AMZN,3171.15,1614585957.274893300
AAPL,131.89,1614585957.274893300
AAPL,130.08,1614585957.275892700
TSLA,659.97,1614585957.275892700
AMZN,3170.14,1614585957.275892700
AAPL,0.00,1614585957.276890600
AMZN,3170.48,1614585957.279892600
AAPL,130.94,1614585957.280890700
AAPL,131.92,1614585957.283890700
AMZN,3170.27,1614585957.283890700
AAPL,131.80,1614585957.283890700
AMZN,3170.17,1614585957.283890700
TSLA,659.01,1614585957.283890700
TSLA,659.22,1614585957.284892100
TSLA,659.14,1614585957.287892500
AMZN,3170.74,1614585957.287892500
AMZN,3170.93,1614585957.289889900
AAPL,131.44,1614585957.290890300
TSLA,659.53,1614585957.290890300
AMZN,3170.94,1614585957.291890300
AAPL,131.84,1614585957.292890000
AAPL,130.83,1614585957.293891300
AMZN,3171.66,1614585957.293891300
AAPL,130.24,1614585957.294892100
TSLA,658.68,1614585957.295891700
AMZN,3170.65,1614585957.295891700
AAPL,131.37,1614585957.295891700
AAPL,0.00,1614585957.296892700
AAPL,131.46,1614585957.298895200
TSLA,658.62,1614585957.298895200
AMZN,3171.13,1614585957.299907500
TSLA,659.21,1614585957.300897200
TSLA,659.54,1614585957.300897200
AAPL,130.97,1614585957.301895500
TSLA,658.41,1614585957.302894500
AMZN,3171.65,1614585957.302894500
AMZN,3171.95,1614585957.304898600
AMZN,3171.85,1614585957.304898600
AAPL,130.74,1614585957.304898600
AAPL,131.74,1614585957.304898600
AAPL,131.12,1614585957.305892000
AMZN,3170.39,1614585957.305892000
AMZN,3171.19,1614585957.305892000
AAPL,130.17,1614585957.306891200
AAPL,131.26,1614585957.307890800
AAPL,131.72,1614585957.307890800
TSLA,659.89,1614585957.308890000
AMZN,3170.72,1614585957.308890000
AAPL,130.76,1614585957.308890000
TSLA,659.17,1614585957.308890000
TSLA,658.40,1614585957.309890800
TSLA,658.31,1614585957.310892800
AMZN,3170.98,1614585957.311889700
TSLA,658.83,1614585957.312892100
AAPL,131.06,1614585957.312892100
TSLA,659.22,1614585957.313894300
AMZN,3171.23,1614585957.313894300
TSLA,658.10,1614585957.314891000
AMZN,3171.69,1614585957.314891000
AMZN,3171.69,1614585957.314891000
AAPL,131.67,1614585957.315890600
TSLA,658.92,1614585957.316892000
TSLA,0.00,1614585957.316892000
AAPL,130.54,1614585957.316892000
AAPL,131.80,1614585957.317890200
TSLA,658.27,1614585957.317890200
AAPL,130.29,1614585957.317890200
AAPL,131.86,1614585957.318891400
TSLA,659.05,1614585957.318891400
AAPL,131.12,1614585957.319890200
AMZN,3171.98,1614585957.319890200
AAPL,131.91,1614585957.319890200
TSLA,658.17,1614585957.319890200
AMZN,3171.50,1614585957.320890100
AMZN,3170.81,1614585957.320890100
TSLA,659.43,1614585957.320890100
TSLA,659.33,1614585957.321889500
AAPL,131.05,1614585957.321889500
AMZN,3171.88,1614585957.322892100
AAPL,131.95,1614585957.322892100
AAPL,131.17,1614585957.322892100
TSLA,658.31,1614585957.324890900
AMZN,3171.48,1614585957.324890900
TSLA,659.10,1614585957.325890000
AMZN,3171.19,1614585957.325890000
TSLA,658.39,1614585957.326889000
AMZN,3170.82,1614585957.326889000
AMZN,3171.68,1614585957.326889000
AAPL,131.10,1614585957.327891300
TSLA,659.21,1614585957.328890000
AMZN,3170.69,1614585957.329891600
TSLA,658.48,1614585957.330890600
AMZN,3170.57,1614585957.330890600
TSLA,659.93,1614585957.331891100
AMZN,3170.08,1614585957.332890200
TSLA,658.71,1614585957.332890200
AMZN,3171.07,1614585957.332890200
TSLA,658.43,1614585957.333891300
TSLA,659.98,1614585957.333891300
AAPL,131.57,1614585957.333891300
TSLA,658.12,1614585957.334892100
TSLA,658.09,1614585957.336890000
AMZN,3171.27,1614585957.336890000
TSLA,659.62,1614585957.336890000
AMZN,3170.74,1614585957.338890500
TSLA,659.11,1614585957.338890500
AAPL,131.19,1614585957.340890900
AMZN,3170.46,1614585957.341891700
TSLA,659.97,1614585957.343892000
TSLA,659.61,1614585957.343892000
TSLA,659.80,1614585957.343892000
AMZN,3170.20,1614585957.344890400
AAPL,130.65,1614585957.344890400
AMZN,3170.51,1614585957.345889400
AAPL,130.41,1614585957.347890800
AMZN,3170.62,1614585957.347890800
AMZN,3170.64,1614585957.348891000
TSLA,659.56,1614585957.349890100
AAPL,131.91,1614585957.350889300
AMZN,3170.66,1614585957.350889300
TSLA,659.61,1614585957.351890900
TSLA,659.19,1614585957.351890900
AMZN,3170.96,1614585957.352889800
TSLA,658.89,1614585957.352889800
AAPL,131.71,1614585957.353890400
TSLA,659.86,1614585957.354890800
AMZN,3171.41,1614585957.354890800
TSLA,658.26,1614585957.354890800
AAPL,131.99,1614585957.355890600
AMZN,3170.80,1614585957.355890600
AAPL,130.29,1614585957.356889700
TSLA,658.56,1614585957.356889700
TSLA,658.50,1614585957.357890200
AAPL,130.97,1614585957.358891900
AAPL,131.21,1614585957.359891500
