symbol,price,timestamp
TSLA,776.89,2021-02-23T02:21:12.633377
AAPL,132.09,2021-02-23T02:21:13.460377
AAPL,133.63,2021-02-23T02:21:15.7283773
FB,265.34,2021-02-23T02:21:15.9353768
TSLA,778.80,2021-02-23T02:21:16.1413768
AAPL,131.19,2021-02-23T02:21:16.3473716
GOOG,2114.09,2021-02-23T02:21:18.1973722
AAPL,130.17,2021-02-23T02:21:19.020377
GOOG,2116.40,2021-02-23T02:21:19.640377
GOOG,2116.90,2021-02-23T02:21:19.844377
TSLA,777.43,2021-02-23T02:21:21.08043
AAPL,130.92,2021-02-23T02:21:21.7014221
FB,265.05,2021-02-23T02:21:22.7314264
FB,264.64,2021-02-23T02:21:23.7614275
TSLA,777.47,2021-02-23T02:21:24.5864295
AAPL,130.40,2021-02-23T02:21:24.7914303
AAPL,132.15,2021-02-23T02:21:24.9984297
GOOG,2116.34,2021-02-23T02:21:25.2044276
TSLA,777.68,2021-02-23T02:21:25.4094255
AAPL,132.49,2021-02-23T02:21:25.6154253
FB,264.04,2021-02-23T02:21:27.8764224
TSLA,775.26,2021-02-23T02:21:28.0834297
AAPL,131.66,2021-02-23T02:21:29.1094249
TSLA,779.58,2021-02-23T02:21:29.3154253
FB,266.37,2021-02-23T02:21:30.1384242
FB,264.46,2021-02-23T02:21:30.3444255
AAPL,132.72,2021-02-23T02:21:30.5494259
AAPL,133.87,2021-02-23T02:21:30.7564253
